   Run #     Count     Expected Final Value       Actual Final Value

       0        10                       20                       20
       1        10                       20                       20
       2        10                       20                       20
       3        10                       20                       10
       4        10                       20                       10
       5        10                       20                       20
       6        10                       20                       20
       7        10                       20                       20
       8        10                       20                       20
       9        10                       20                       20
      10       100                      200                      200
      11       100                      200                      200
      12       100                      200                      200
      13       100                      200                      200
      14       100                      200                      138
      15       100                      200                      200
      16       100                      200                      121
      17       100                      200                      200
      18       100                      200                      199
      19       100                      200                      200
      20      1000                     2000                     1088
      21      1000                     2000                     1126
      22      1000                     2000                     1031
      23      1000                     2000                     1091
      24      1000                     2000                     1111
      25      1000                     2000                     1089
      26      1000                     2000                     1115
      27      1000                     2000                     1099
      28      1000                     2000                     1118
      29      1000                     2000                     1144
      30      5000                    10000                     4969
      31      5000                    10000                     4804
      32      5000                    10000                     4953
      33      5000                    10000                     4940
      34      5000                    10000                     4994
      35      5000                    10000                     4879
      36      5000                    10000                     4954
      37      5000                    10000                     4791
      38      5000                    10000                     4771
      39      5000                    10000                     4956
      40     10000                    20000                     9798
      41     10000                    20000                     9763
      42     10000                    20000                     9774
      43     10000                    20000                     9930
      44     10000                    20000                     9787
      45     10000                    20000                     9664
      46     10000                    20000                     9839
      47     10000                    20000                     9762
      48     10000                    20000                     9748
      49     10000                    20000                     9793
      50     50000                   100000                    49933
      51     50000                   100000                    50324
      52     50000                   100000                    48230
      53     50000                   100000                    50536
      54     50000                   100000                    47901
      55     50000                   100000                    50622
      56     50000                   100000                    50253
      57     50000                   100000                    47562
      58     50000                   100000                    52879
      59     50000                   100000                    47717
      60    100000                   200000                   107121
      61    100000                   200000                    95395
      62    100000                   200000                    97847
      63    100000                   200000                    97299
      64    100000                   200000                    96035
      65    100000                   200000                    97093
      66    100000                   200000                    99379
      67    100000                   200000                    99092
      68    100000                   200000                    97856
      69    100000                   200000                    96522
      70    500000                  1000000                   475377
      71    500000                  1000000                   494767
      72    500000                  1000000                   488583
      73    500000                  1000000                   488711
      74    500000                  1000000                   584931
      75    500000                  1000000                   545449
      76    500000                  1000000                   500986
      77    500000                  1000000                   488521
      78    500000                  1000000                   480700
      79    500000                  1000000                   471950
      80    800000                  1600000                   768749
      81    800000                  1600000                   788754
      82    800000                  1600000                   759243
      83    800000                  1600000                   754917
      84    800000                  1600000                   774761
      85    800000                  1600000                   792327
      86    800000                  1600000                   872237
      87    800000                  1600000                   859944
      88    800000                  1600000                   789799
      89    800000                  1600000                   767394
      90   1000000                  2000000                  1001704
      91   1000000                  2000000                   951128
      92   1000000                  2000000                  1137572
      93   1000000                  2000000                   971057
      94   1000000                  2000000                   978123
      95   1000000                  2000000                   965731
      96   1000000                  2000000                   994699
      97   1000000                  2000000                  1138676
      98   1000000                  2000000                   967038
      99   1000000                  2000000                   974285
