   Run #     Count     Expected Final Value       Actual Final Value

       0        10                       20                       20
       1        10                       20                       20
       2        10                       20                       20
       3        10                       20                       20
       4        10                       20                       20
       5        10                       20                       20
       6        10                       20                       20
       7        10                       20                       20
       8        10                       20                       20
       9        10                       20                       20
      10       100                      200                      200
      11       100                      200                      200
      12       100                      200                      200
      13       100                      200                      200
      14       100                      200                      200
      15       100                      200                      200
      16       100                      200                      200
      17       100                      200                      200
      18       100                      200                      200
      19       100                      200                      200
      20      1000                     2000                     2000
      21      1000                     2000                     2000
      22      1000                     2000                     2000
      23      1000                     2000                     2000
      24      1000                     2000                     2000
      25      1000                     2000                     2000
      26      1000                     2000                     2000
      27      1000                     2000                     2000
      28      1000                     2000                     2000
      29      1000                     2000                     2000
      30      5000                    10000                    10000
      31      5000                    10000                    10000
      32      5000                    10000                    10000
      33      5000                    10000                    10000
      34      5000                    10000                    10000
      35      5000                    10000                    10000
      36      5000                    10000                    10000
      37      5000                    10000                    10000
      38      5000                    10000                    10000
      39      5000                    10000                    10000
      40     10000                    20000                    20000
      41     10000                    20000                    20000
      42     10000                    20000                    20000
      43     10000                    20000                    20000
      44     10000                    20000                    20000
      45     10000                    20000                    20000
      46     10000                    20000                    20000
      47     10000                    20000                    20000
      48     10000                    20000                    20000
      49     10000                    20000                    20000
      50     50000                   100000                   100000
      51     50000                   100000                   100000
      52     50000                   100000                   100000
      53     50000                   100000                   100000
      54     50000                   100000                   100000
      55     50000                   100000                   100000
      56     50000                   100000                   100000
      57     50000                   100000                   100000
      58     50000                   100000                   100000
      59     50000                   100000                   100000
      60    100000                   200000                   200000
      61    100000                   200000                   200000
      62    100000                   200000                   200000
      63    100000                   200000                   200000
      64    100000                   200000                   200000
      65    100000                   200000                   200000
      66    100000                   200000                   200000
      67    100000                   200000                   200000
      68    100000                   200000                   200000
      69    100000                   200000                   200000
      70    500000                  1000000                  1000000
      71    500000                  1000000                  1000000
      72    500000                  1000000                  1000000
      73    500000                  1000000                  1000000
      74    500000                  1000000                  1000000
      75    500000                  1000000                  1000000
      76    500000                  1000000                  1000000
      77    500000                  1000000                  1000000
      78    500000                  1000000                  1000000
      79    500000                  1000000                  1000000
      80    800000                  1600000                  1600000
      81    800000                  1600000                  1600000
      82    800000                  1600000                  1600000
      83    800000                  1600000                  1600000
      84    800000                  1600000                  1600000
      85    800000                  1600000                  1600000
      86    800000                  1600000                  1600000
      87    800000                  1600000                  1600000
      88    800000                  1600000                  1600000
      89    800000                  1600000                  1600000
      90   1000000                  2000000                  2000000
      91   1000000                  2000000                  2000000
      92   1000000                  2000000                  2000000
      93   1000000                  2000000                  2000000
      94   1000000                  2000000                  2000000
      95   1000000                  2000000                  2000000
      96   1000000                  2000000                  2000000
      97   1000000                  2000000                  2000000
      98   1000000                  2000000                  2000000
      99   1000000                  2000000                  2000000
